JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456669.169979,<16.0,,,CV,MARA,,148,134,13177BYE,,0,,Z,14.781,13.39,,SN 2014J,AAVSO,STD,,,,
2456674.93388,12.6,0.15,,CV,USO01,,000-BLG-314,000-BLG-317,VPS,""" 	Image Nasa Microobservatory, Analysis Astrometrica """,0,,Z,11.2,12.2,,SN 2014J,,STD,,,,
2456675.198973,13.020,0.1,,TR,MARA,Z,148,134,13177BYE," 	SN IS SATURATED ",0,,Z,14.355,13.056,,SN 2014J,AAVSO,STD,,,,
2456675.249129,13.592,0.1,,TG,MARA,Z,148,134,13177BYE," 	SN IS SATURATED ",0,,Z,14.781,13.486,,SN 2014J,AAVSO,STD,,,,
2456675.298243,15.034,0.1,,TB,MARA,,148,134,13177BYE,,0,,Z,15.481,13.908,,SN 2014J,AAVSO,STD,,,,
2456675.90064,12.3,0.15,,CV,USO01,,000-BLG-316,000-BLG-314,VPS,,0,,Z,12.0,11.1,,SN 2014J,,STD,,,,
2456676.181294,14.435,0.1,,TB,MARA,,148,134,13177BYE,,0,,Z,15.481,13.945,,SN 2014J,AAVSO,STD,,,,
2456676.241293,13.149,0.1,,TG,MARA,Z,148,134,13177BYE," 	SN IS SATURATED ",0,,Z,14.781,13.383,,SN 2014J,AAVSO,STD,,,,
2456676.279476,14.25,0.1,,TB,MARA,,148,134,13177BYE,,0,,Z,14.355,12.818,,SN 2014J,AAVSO,STD,,,,
2456676.89035,12.0,0.11,,CV,USO01,,000-BLG-313,000-BLG-314,VPS,,0,,Z,10.7,11.1,,SN 2014J,,STD,,,,
2456677.87986,11.8,0.1,,CV,USO01,,000-BLG-313,000-BLG-314,VSP,,0,,Z,10.7,11.2,,SN 2014J,,STD,,,,
2456678.539097,12.266,0.0373,,V,VCEA,B,114,SN 2014J,13296CLB," 	Using Astronomik CLS CCD Filter. ",1,,Z,-12.749,-12.140,,SN 2014J,,STD,20140,,,
2456678.546435,12.230,0.0373,,V,VCEA,B,114,SN 2014J,13296CLB," 	&nbsp; Using Astronomik CLS CCD Filter. ",1,,Z,-12.694,-12.071,,SN 2014J,,STD,20140,,,
2456678.553773,12.246,0.0373,,V,VCEA,B,114,SN 2014J,13296CLB," 	Using Astronomik CLS CCD Filter. ",1,,Z,-12.775,-12.151,,SN 2014J,,STD,20140,,,
2456678.563171,12.259,0.0373,,V,VCEA,B,114,SN 2014J,13296CLB," 	&nbsp; Using Astronomik CLS CCD Filter. ",1,,Z,-12.763,-12.135,,SN 2014J,,STD,20140,,,
2456678.87986,11.6,0.1,,CV,USO01,,000-BLG-313,000-BLG-314,VSP,,0,,Z,10.7,11.2,,SN 2014J,,STD,,,,
2456679.2111,11.074,0.012,,TR,LJAC,,106,122,13186ALW,,0,,Z,10.125,11.840,,SN 2014J,AAVSO,STD,0,,,
2456679.2111,11.795,0.006,,TG,LJAC,,106,122,13186ALW,,0,,Z,10.616,12.203,,SN 2014J,AAVSO,STD,0,,,
2456679.2111,13.204,0.014,,TB,LJAC,,106,122,13186ALW,,0,,Z,11.477,12.981,,SN 2014J,AAVSO,STD,0,,,
2456679.2359,11.074,0.008,,TR,LJAC,,106,122,13186ALW,,0,,Z,10.125,11.856,,SN 2014J,AAVSO,STD,0,,,
2456679.2359,11.778,0.005,,TG,LJAC,,106,122,13186ALW,,0,,Z,10.616,12.204,,SN 2014J,AAVSO,STD,0,,,
2456679.2359,13.191,0.014,,TB,LJAC,,106,122,13186ALW,,0,,Z,11.477,12.964,,SN 2014J,AAVSO,STD,0,,,
2456679.50000,11.25,0.02,,R,BPAB,,122,93,13177QM," 	my image http://b09-backman.blogspot.it/2014/01/m82-sn-2014j.html  	&nbsp;",0,,Z,12.40,9.00,,J09554214+6940260,AAVSO,STD,,,,
2456679.83278,11.687,0.037,,V,WXR,,ENSEMBLE,112,13172FT,,0,1.259,Z,,11.219,,PSN J09554214+6940260,SAAF,STD,,,,
2456679.83404,12.992,0.032,,B,WXR,,ENSEMBLE,112,13172FT,,0,1.258,Z,,12.266,,PSN J09554214+6940260,SAAF,STD,,,,
2456679.83515,10.925,0.041,,R,WXR,,ENSEMBLE,112,13172FT,,0,1.257,Z,,10.605,,PSN J09554214+6940260,SAAF,STD,,,,
2456679.87986,11.2,0.12,,CV,USO01,,000-BLG-314,000-BLG-313,VPS,""" 	Image with Nasa Microobervatory, analysis with Astrometrica """,0,,Z,11.2,10.7,,SN 2014J,,STD,,,,
2456679.895532,12.79,0.02,,B,ELE,,000-BLG-317,000-BLG-316,13175CFS,,0,1.253,Z,13.65,13.32,,SN 2014J,,STD,,,,
2456679.906053,10.80,0.01,,R,ELE,,000-BLG-317,000-BLG-316,13175CFS,,0,1.259,Z,13.80,13.57,,SN 2014J,,STD,,,,
2456679.906644,10.40,0.01,,R,ELE,,000-BLG-317,000-BLG-316,13175CFS,,0,1.259,Z,13.81,13.54,,SN 2014J,,STD,,,,
2456679.910127,11.57,0.01,,V,ELE,,000-BLG-317,000-BLG-316,13175CFS,,0,1.262,Z,13.99,13.69,,SN 2014J,,STD,,,,
