JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457091.289,16.8,0.20,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457093.244,15.4,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457093.444,15.30,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457096.263,14.16,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457097.07461,14.49,.02,,V,HSW,,ensemble,,UCAC4,"""180-seconds T30 iTelescope.net Siding Spring, Australia""",0,,Z,,,,SN 2015F,AAVSO,STD,,,,
2457097.247,13.85,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457099.275,13.38,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457100.268,13.21,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457101.252,13.11,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457103.246,12.94,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457104.278,12.88,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457105.467,12.86,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457106.238,12.84,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457107.347,12.84,0.10,,CR,MLF,,2UCAC01809744,2UCAC01683356,BERTO'S CHART,SN IN NGC 2442,0,,Z,14.1,14.3,,SN 2015F,,STD,,,,
2457108.00833,13.2,,,Vis.,CMQ,B,133,,14641VE,First quarter moonlight,,,Z,,,,SN 2015F,,STD,,,,
2457109.50414,13.267,0.010,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.46,Z,18.619,19.284,,SN 2015F,VVS,STD,,,,
2457109.50490,13.264,0.010,,V,HMB,,000-BLP-866,000-BLP-868,14641ADA,STANDARD MAG: C = 13.613  K = 14.324,0,1.46,Z,18.613,19.281,,SN 2015F,VVS,STD,,,,
2457109.90972,13.3,,,Vis.,CMQ,B,133,,14641VE,First quarter moonlight ,,,Z,,,,SN 2015F,,STD,,,,
