JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457888.00284,13.223,0.032,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.762|VERR=0.028|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.129,Z,13.875,14.544,,SN 2017EAW,AAVSO,STD,101,,,
2457888.00358,13.132,0.030,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.725|VERR=0.026|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.128,Z,13.925,14.494,,SN 2017EAW,AAVSO,STD,102,,,
2457888.00432,13.196,0.034,,B,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.764|VERR=0.030|CREFMAG=13.482|CREFERR=0.055|KREFMAG=14.139|KREFERR=0.048|VX=0.0000|CX=0.0000|KX=0.0000|TB_BV=0.2950|TB_BVERR=0.0110|TAVER=2.49,1,1.127,Z,13.900,14.567,,SN 2017EAW,AAVSO,STD,103,,,
2457888.00531,13.194,0.033,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.006|VERR=0.032|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.127,Z,13.796,14.276,,SN 2017EAW,AAVSO,STD,101,,,
2457888.00588,13.116,0.034,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=13.929|VERR=0.033|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.126,Z,13.797,14.223,,SN 2017EAW,AAVSO,STD,102,,,
2457888.00645,13.182,0.040,,V,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.003|VERR=0.039|CREFMAG=12.959|CREFERR=0.039|KREFMAG=13.438|KREFERR=0.034|VX=0.0000|CX=0.0000|KX=0.0000|TV_BV=-0.0500|TV_BVERR=0.0170|TAVER=2.49,1,1.126,Z,13.805,14.294,,SN 2017EAW,AAVSO,STD,103,,,
2457888.00725,13.000,0.052,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.856|VERR=0.050|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.125,Z,14.145,14.428,,SN 2017EAW,AAVSO,STD,101,,,
2457888.00781,12.881,0.053,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.770|VERR=0.051|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.125,Z,14.173,14.519,,SN 2017EAW,AAVSO,STD,102,,,
2457888.00838,12.819,0.056,,I,FJQ,,000-BCL-945,000-BCL-940,X19014BFK,|VMAGINS=14.754|VERR=0.055|CREFMAG=12.218|CREFERR=0.039|KREFMAG=12.395|KREFERR=0.098|VX=0.0000|CX=0.0000|KX=0.0000|TI_VI=-0.1300|TI_VIERR=0.0220|TAVER=2.49,1,1.125,Z,14.202,14.403,,SN 2017EAW,AAVSO,STD,103,,,
2457888.38276,13.189,0.036,,B,BDG,,ENSEMBLE,GSC 4246 0639,APASS,,1,1.895,Z,,14.212,,SN 2017EAW,BAA-VSS,STD,1,,,
